order_id,order_number,customer_name,order_date,order_time,item_name,category,ingredients,quantity,price,total_price,payment_mode,store_id,Month Name,Month number,Day Name,Day number,Hour
1,5650,Pooja,01-01-2024,5.45.21 PM,Croissant,Bakery,"Flour, Butter, Yeast",1,280,280,Card,1,January,1,Monday,1,17
2,3382,Ananya,01-01-2024,2.38.08 PM,Green Tea,Tea,"Green Tea Leaves, Water",1,314,314,Cash,2,January,1,Monday,1,14
3,4745,Aarav,01-01-2024,9.53.02 PM,Mocha,Coffee,"Espresso, Chocolate Syrup, Milk",2,342,684,Card,2,January,1,Monday,1,21
4,7617,Nikhil,01-01-2024,10.09.52 PM,Mocha,Coffee,"Espresso, Chocolate Syrup, Milk",3,345,1035,Card,1,January,1,Monday,1,22
5,2421,Nikhil,01-01-2024,6.10.26 PM,Green Tea,Tea,"Green Tea Leaves, Water",1,245,245,Cash,1,January,1,Monday,1,18
6,1126,Aarav,01-01-2024,7.40.14 AM,Cold Brew,Coffee,"Coffee Beans, Cold Water",4,264,1056,UPI,1,January,1,Monday,1,7
7,7572,Riya,01-01-2024,4.28.15 PM,Cold Brew,Coffee,"Coffee Beans, Cold Water",4,296,1184,Card,3,January,1,Monday,1,16
8,8724,Simran,01-01-2024,7.53.30 PM,Croissant,Bakery,"Flour, Butter, Yeast",3,194,582,UPI,3,January,1,Monday,1,19
9,5229,Simran,01-01-2024,10.43.24 PM,Croissant,Bakery,"Flour, Butter, Yeast",4,122,488,Cash,3,January,1,Monday,1,22
10,3407,Aarav,01-01-2024,6.47.12 PM,Americano,Coffee,"Espresso, Hot Water",4,144,576,Card,3,January,1,Monday,1,18
11,8343,Ananya,02-01-2024,3.32.14 PM,Espresso,Coffee,"Espresso Beans, Water",3,337,1011,UPI,3,January,1,Tuesday,2,15
12,3843,Karan,02-01-2024,7.38.54 PM,Green Tea,Tea,"Green Tea Leaves, Water",2,266,532,UPI,1,January,1,Tuesday,2,19
13,2666,Rahul,02-01-2024,1.28.17 PM,Hot Chocolate,Beverage,"Cocoa Powder, Milk, Sugar",3,156,468,UPI,2,January,1,Tuesday,2,13
14,8073,Ananya,02-01-2024,8.18.14 PM,Green Tea,Tea,"Green Tea Leaves, Water",3,149,447,Card,1,January,1,Tuesday,2,20
15,6045,Simran,02-01-2024,8.59.08 AM,Croissant,Bakery,"Flour, Butter, Yeast",2,253,506,Cash,2,January,1,Tuesday,2,8
16,2769,Rahul,02-01-2024,7.11.41 AM,Mocha,Coffee,"Espresso, Chocolate Syrup, Milk",3,128,384,Cash,1,January,1,Tuesday,2,7
17,2507,Karan,02-01-2024,10.25.25 PM,Croissant,Bakery,"Flour, Butter, Yeast",4,185,740,UPI,2,January,1,Tuesday,2,22
18,3217,Rahul,02-01-2024,10.02.36 AM,Mocha,Coffee,"Espresso, Chocolate Syrup, Milk",3,252,756,Card,1,January,1,Tuesday,2,10
19,6004,Simran,02-01-2024,8.39.22 PM,Latte,Coffee,"Espresso, Steamed Milk",1,210,210,Card,3,January,1,Tuesday,2,20
20,7935,Nikhil,02-01-2024,12.50.17 PM,Americano,Coffee,"Espresso, Hot Water",3,185,555,UPI,3,January,1,Tuesday,2,12
21,8432,Ananya,02-01-2024,9.08.25 PM,Cappuccino,Coffee,"Espresso, Milk, Milk Foam",1,138,138,Cash,2,January,1,Tuesday,2,21
22,1519,Riya,02-01-2024,4.48.59 PM,Espresso,Coffee,"Espresso Beans, Water",2,316,632,UPI,3,January,1,Tuesday,2,16
23,8883,Simran,03-01-2024,4.38.26 PM,Hot Chocolate,Beverage,"Cocoa Powder, Milk, Sugar",2,143,286,Cash,3,January,1,Wednesday,3,16
24,5463,Rahul,03-01-2024,8.41.31 PM,Cold Brew,Coffee,"Coffee Beans, Cold Water",4,259,1036,Cash,2,January,1,Wednesday,3,20
25,5861,Karan,03-01-2024,8.54.19 AM,Croissant,Bakery,"Flour, Butter, Yeast",4,159,636,Cash,3,January,1,Wednesday,3,8
26,2342,Ananya,03-01-2024,10.45.00 AM,Americano,Coffee,"Espresso, Hot Water",4,292,1168,UPI,2,January,1,Wednesday,3,10
27,7950,Ananya,03-01-2024,12.38.26 PM,Mocha,Coffee,"Espresso, Chocolate Syrup, Milk",2,206,412,Cash,3,January,1,Wednesday,3,12
28,8521,Aarav,03-01-2024,8.56.20 PM,Espresso,Coffee,"Espresso Beans, Water",2,273,546,UPI,3,January,1,Wednesday,3,20
29,8266,Nikhil,03-01-2024,7.04.40 AM,Espresso,Coffee,"Espresso Beans, Water",2,184,368,Cash,3,January,1,Wednesday,3,7
30,5189,Karan,03-01-2024,9.07.03 AM,Hot Chocolate,Beverage,"Cocoa Powder, Milk, Sugar",1,218,218,UPI,2,January,1,Wednesday,3,9
31,6704,Rahul,04-01-2024,6.58.29 PM,Masala Tea,Tea,"Tea Leaves, Milk, Spices, Sugar",3,143,429,Cash,2,January,1,Thursday,4,18
32,4788,Aarav,04-01-2024,7.36.18 PM,Cappuccino,Coffee,"Espresso, Milk, Milk Foam",4,345,1380,UPI,2,January,1,Thursday,4,19
33,8381,Aarav,04-01-2024,7.04.21 PM,Hot Chocolate,Beverage,"Cocoa Powder, Milk, Sugar",1,224,224,Cash,3,January,1,Thursday,4,19
34,9346,Karan,04-01-2024,8.28.16 AM,Cappuccino,Coffee,"Espresso, Milk, Milk Foam",3,143,429,UPI,1,January,1,Thursday,4,8
35,9229,Pooja,04-01-2024,8.36.13 AM,Hot Chocolate,Beverage,"Cocoa Powder, Milk, Sugar",3,195,585,Card,1,January,1,Thursday,4,8
36,8968,Nikhil,04-01-2024,1.44.04 PM,Cold Brew,Coffee,"Coffee Beans, Cold Water",2,157,314,UPI,3,January,1,Thursday,4,13
37,9387,Nikhil,04-01-2024,1.34.46 PM,Masala Tea,Tea,"Tea Leaves, Milk, Spices, Sugar",4,298,1192,Card,1,January,1,Thursday,4,13
38,4244,Pooja,04-01-2024,7.42.44 AM,Espresso,Coffee,"Espresso Beans, Water",3,338,1014,Card,1,January,1,Thursday,4,7
39,2329,Aarav,05-01-2024,8.22.56 AM,Masala Tea,Tea,"Tea Leaves, Milk, Spices, Sugar",1,249,249,Cash,1,January,1,Friday,5,8
40,9383,Riya,05-01-2024,7.58.03 AM,Croissant,Bakery,"Flour, Butter, Yeast",3,233,699,Card,2,January,1,Friday,5,7
41,3991,Riya,05-01-2024,1.22.34 PM,Latte,Coffee,"Espresso, Steamed Milk",3,182,546,UPI,3,January,1,Friday,5,13
42,9221,Riya,05-01-2024,8.26.23 AM,Hot Chocolate,Beverage,"Cocoa Powder, Milk, Sugar",4,253,1012,Card,1,January,1,Friday,5,8
43,9940,Karan,05-01-2024,5.47.14 PM,Cappuccino,Coffee,"Espresso, Milk, Milk Foam",2,307,614,Cash,1,January,1,Friday,5,17
44,6107,Nikhil,05-01-2024,7.06.43 AM,Espresso,Coffee,"Espresso Beans, Water",4,280,1120,UPI,3,January,1,Friday,5,7
45,9698,Simran,05-01-2024,12.01.19 PM,Americano,Coffee,"Espresso, Hot Water",1,302,302,Card,2,January,1,Friday,5,12
46,9043,Riya,05-01-2024,8.52.20 AM,Cappuccino,Coffee,"Espresso, Milk, Milk Foam",4,216,864,Card,3,January,1,Friday,5,8
47,5474,Nikhil,05-01-2024,1.10.43 PM,Green Tea,Tea,"Green Tea Leaves, Water",1,321,321,UPI,3,January,1,Friday,5,13
48,9031,Rahul,06-01-2024,12.07.45 PM,Masala Tea,Tea,"Tea Leaves, Milk, Spices, Sugar",3,280,840,UPI,2,January,1,Saturday,6,12
49,8548,Riya,06-01-2024,9.23.26 PM,Croissant,Bakery,"Flour, Butter, Yeast",3,330,990,Card,1,January,1,Saturday,6,21
50,6443,Simran,06-01-2024,10.03.46 PM,Espresso,Coffee,"Espresso Beans, Water",3,307,921,Cash,2,January,1,Saturday,6,22
51,6269,Riya,06-01-2024,7.46.51 PM,Americano,Coffee,"Espresso, Hot Water",3,309,927,Cash,2,January,1,Saturday,6,19
52,1461,Aarav,06-01-2024,9.55.07 AM,Mocha,Coffee,"Espresso, Chocolate Syrup, Milk",1,345,345,UPI,2,January,1,Saturday,6,9
53,7587,Pooja,06-01-2024,12.08.39 PM,Croissant,Bakery,"Flour, Butter, Yeast",3,208,624,Cash,2,January,1,Saturday,6,12
54,8564,Pooja,06-01-2024,5.45.50 PM,Cold Brew,Coffee,"Coffee Beans, Cold Water",3,161,483,Card,2,January,1,Saturday,6,17
55,9024,Rahul,06-01-2024,9.56.44 PM,Green Tea,Tea,"Green Tea Leaves, Water",1,129,129,Card,2,January,1,Saturday,6,21
56,6503,Pooja,06-01-2024,6.37.31 PM,Green Tea,Tea,"Green Tea Leaves, Water",3,214,642,Cash,1,January,1,Saturday,6,18
57,6214,Pooja,07-01-2024,1.01.20 PM,Latte,Coffee,"Espresso, Steamed Milk",3,189,567,UPI,1,January,1,Sunday,7,13
58,6850,Nikhil,07-01-2024,3.31.56 PM,Croissant,Bakery,"Flour, Butter, Yeast",2,154,308,Cash,3,January,1,Sunday,7,15
59,4964,Ananya,07-01-2024,8.37.00 PM,Cold Brew,Coffee,"Coffee Beans, Cold Water",1,302,302,Card,1,January,1,Sunday,7,20
60,3011,Ananya,07-01-2024,5.46.05 PM,Mocha,Coffee,"Espresso, Chocolate Syrup, Milk",2,336,672,Cash,2,January,1,Sunday,7,17
61,7337,Karan,07-01-2024,8.57.03 AM,Mocha,Coffee,"Espresso, Chocolate Syrup, Milk",4,330,1320,Cash,2,January,1,Sunday,7,8
62,2628,Ananya,07-01-2024,11.09.08 AM,Americano,Coffee,"Espresso, Hot Water",1,305,305,Card,3,January,1,Sunday,7,11
